name,slot,tier,levelRequired,attackDamage,attackDamagePercent,attackSpeed,maxHealth,healthRegen,armor,dodge,criticalChance,lifesteal,hitRating,spellDamage,spellDamagePercent,spellHealing,spellHealingPercent,fireDamage,fireDamagePercent,frostDamage,frostDamagePercent,natureDamage,natureDamagePercent,shadowDamage,shadowDamagePercent,holyDamage,holyDamagePercent,bleedDamage,bleedDamagePercent,poisonDamage,poisonDamagePercent,xpBonus,goldBonus,afkGainsPercent,professionXPPercent,professionPowerPercent,description
# ============================================
# LEVEL 1 - STARTER GEAR (6 Common)
# Universal starter items craftable by all professions
# Target full set: ~115 HP, ~800 armor, ~1% crit, 29 damage
# ============================================
Worn Chest Armor,Chest,Common,1,5,0,0,30,1,200,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A worn but serviceable piece of armor.
Worn Leg Guards,Legs,Common,1,3,0,0,25,0.5,150,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Patched leg armor that still provides protection.
Worn Gloves,Hands,Common,1,4,0,0,15,0,100,0,0.005,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sturdy gloves with reinforced knuckles.
Worn Boots,Feet,Common,1,2,0,0,20,0,100,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Simple boots with basic protection.
Old Blade,MainHand,Common,1,15,0,0,0,0,0,0,0.005,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A basic blade showing signs of use.
Old Buckler,OffHand,Common,1,0,0,0,25,0,250,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A sturdy buckler with iron rim.
# ============================================
# LEVEL 10 - PLATE COMMON (6 items)
# First real armor upgrade - tank path
# Target full set: ~280 HP, ~2000 armor, ~2% crit, 76 damage
# ============================================
Sturdy Breastplate,Chest,Common,10,12,0,0,70,2.5,500,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Well-maintained armor with solid protection.
Sturdy Legplates,Legs,Common,10,8,0,0,55,1,400,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Reliable leg armor for frontline combat.
Sturdy Gauntlets,Hands,Common,10,10,0,0,35,0,250,0,0.007,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Reinforced gloves that pack a punch.
Sturdy Sabatons,Feet,Common,10,6,0,0,45,0,250,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Heavy boots built for endurance.
Iron Mace,MainHand,Common,10,40,0,0,10,0,0,0,0.008,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A heavy weapon that crushes through armor.
Iron Tower Shield,OffHand,Common,10,0,0,0,65,0,600,0,0.005,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A large shield for blocking heavy blows.
# ============================================
# LEVEL 10 - LEATHER COMMON (6 items)
# Physical DPS path - agility focused
# Target full set: ~160 HP, ~900 armor, ~5% dodge, ~5% crit, 150 damage
# ============================================
Hide Jerkin,Chest,Common,10,28,0,0,40,1,200,0.01,0.01,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,Thick hide armor with good flexibility.
